Restaurant Name,Address,Approximate Rating,Number of Ratings,Source URL
Habit Burger & Grill,"146 W El Camino Real, Sunnyvale",4.2,1185,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJWRPB5GO2j4ARMtYHzir7yqY
Kirk's SteakBurgers - Palo Alto,"2680 Middlefield Rd, Palo Alto",4.3,486,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc5w7vvy6j4ARAFnKDu5CVRI
Macho Burger,"927 E Arques Ave #121, Sunnyvale",3.4,238,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEct1wym3j4ARgXc8wbxq3ZQ
Red Robin Gourmet Burgers and Brews,"3906 Rivermark Plaza, Santa Clara",3.9,1659,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVe9KbXbJj4ARcIOzrUx2pDo
Five Guys,"116 E El Camino Real, Sunnyvale",4.4,1436,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBe3PemS2j4ARA7sDzOyakHA
Wayback Burgers,"1547 California Cir, Milpitas",4,1111,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXYxuQbzIj4ARNj2QDX62WK4
St. John's Bar & Grill,"510 Lawrence Expy, Sunnyvale",4.5,3494,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJySYS8p-1j4ARZCT6mFLkO9E
Last Chance Restaurant,"3400 De La Cruz Blvd, Santa Clara",4,322,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJz9HSwH7Jj4ARzffinRzh-x4
Lazy Dog Restaurant & Bar,"19359 Stevens Creek Blvd, Cupertino",4.3,5005,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAb33GUS0j4ARjGKbpYi5jR4
Armadillo Willy's Texas BBQ,"161 E El Camino Real, Sunnyvale",4.2,1198,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJP2kAMGW2j4ARb_zV97FCq5U
Five Guys,"2098 W El Camino Real, Mountain View",4.3,1656,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJW2bLBLywj4ARhMyt7xf43Js
Armadillo Willy's BBQ,"2624 E Homestead Rd, Santa Clara",4.2,572,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ1c4J4GbKj4ARUdYG8mSVX4A
Rossotti’s Alpine Inn,"3915 Alpine Rd, Portola Valley",4.6,2859,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBZrpYl-lj4AR4K5ngtG0KOE
Euro Grill,"980 El Camino Real #100, Santa Clara",4.8,708,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5dgwMbPLj4ARc3mEptq6Nxw
Black Bear Diner Sunnyvale,"415 E El Camino Real, Sunnyvale",4.2,2440,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJi0mfunq2j4AReZTjIbT3smo
Cap't Loui,"19700 Vallco Pkwy #150, Cupertino",4.7,895,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJN06212-1j4ARmXgKWnhSJQU
Cajun Crack'n Milpitas,"275 Ranch Dr, Milpitas",4.8,1176,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJO52-mDbJj4ARynqMueGueFk
Cook's Seafood,"751 El Camino Real, Menlo Park",4.5,1144,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZ1UNLrKkj4ARKcgVQRourdA
Rustic House Oyster Bar & Grill - Los Altos,"295 Main St, Los Altos",4.3,821,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5TATx--wj4ARZdlFK-M2_O4
The Roasted Crab,"3151 Mission College Blvd, Santa Clara",4.1,238,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJIyHvhlHJj4ARi2uE12KepV8
Pacific Catch,"711 Stanford Shopping Center, Palo Alto",4.2,645,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJzcXtnO7j4ARGsdmlyvEgYI
Luna del Mar Restaurant,"991 Saratoga Ave #110, San Jose",4.8,116,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJGSWFeyXLj4AR2LiKzHBIMVI
King's Fish House,"2855 Stevens Creek Blvd, San Jose",4.3,1230,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVVVVUB7Lj4ARYzeDPpibxI4
Fish's Wild,"20672 Homestead Rd, Cupertino",4.4,350,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJESooEcu1j4ARUKm-wD4Zeyw
The City Fish,"21678 Stevens Creek Blvd, Cupertino",4.6,1126,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDw_zPkS0j4ARYnKCOfx3_SA
Rok Steakhouse & Grill,"4130 N First St, San Jose",4.3,1628,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJKWESUVPIj4ARDRhfL_DD2nI
Birk's,"3955 Freedom Cir, Santa Clara",4.5,2197,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJvQ88PywYyUwR3Tcw8JMtTj4
Galpão Gaucho Brazilian Steakhouse,"19780 Stevens Creek Blvd, Cupertino",4.6,1866,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ4x9UGqG1j4ARjgyZdqgBPdg
Arya Steakhouse,"140 University Ave, Palo Alto",4.4,1179,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXzozIq2jj4ARpEwPAaO9InY
Los Altos Grill,"233 3rd St, Los Altos",4.5,1570,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJWUOqde-wj4ARvFRj5XeG0CY
Alexander's Steakhouse,"19379 Stevens Creek Blvd, Cupertino",4.5,1641,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ38II9Ji1j4ARxUTIEfcTGx0
Sundance The Steakhouse,"1921 El Camino Real, Palo Alto",4.6,2149,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJaWnuL-e6j4ARR6YIY348nZk
Redwood Grill in Los Altos,"680 Fremont Ave, Los Altos",4.3,123,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJD7zQ58exj4AR3GdrlEhT-bE
Sizzler,"2855 Augustine Dr, Santa Clara",4,1907,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHU48Ae_Jj4ARiZo_fl6bCJc
The Sea by Alexander's Steakhouse,"4269 W El Camino Real, Palo Alto",4.5,1313,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJOT4Wp3m6j4ARL_3gCaC-HJ0
Holder’s Mission City Grill,"2000 El Camino Real, Santa Clara",4.4,1604,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJSetpCkbKj4ARnM6R9Ho8iNI
Mikiya Wagyu Shabu House | Santa Clara,"3590 Homestead Rd, Santa Clara",4.7,1078,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVe_0K9m1j4AR2DRSXeB8LH8
Show de Carnes Brazilian Steakhouse,"3398 El Camino Real, Palo Alto",4.7,157,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJB3hVsb67j4ARXMaL06rl50c
BJ's Restaurant & Brewhouse,"10690 N De Anza Blvd, Cupertino",4,2467,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJM75zpLa1j4ARd8IiWxkW30g
Naschmarkt - Palo Alto,"2323 Birch St, Palo Alto",4.6,223,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq6oGtOW6j4AROUSVKcfXF0k
Mayan Kitchen,"139 S Murphy Ave, Sunnyvale",4.6,380,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZXSUR1G3j4AR8TAtk-lNYpE
Garden Fresh,"1245 W El Camino Real, Mountain View",4.5,889,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJi93uLsywj4ARH81XgnsYctU
sweetgreen,"581 Ramona St, Palo Alto",4,596,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJKWjVKTq7j4ARuUYobtoUXfQ
sweetgreen,"300 W El Camino Real, Sunnyvale",4.1,615,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd_ydnWG2j4ARPjGR0_2wJWU
sweetgreen,"440 Castro St, Mountain View",4.2,565,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJw4RuczO3j4ARC7RByZ5K9nI
True Food Kitchen,"180 El Camino Real Ste 1140, Palo Alto",4.2,2275,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt9KIrTW7j4ARjb1bTp5MW-E
Aqui Cupertino,"10630 S De Anza Blvd, Cupertino",4.5,2317,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXcisMQe1j4ARtlM0cX8f3bE
Loving Hut,"516 Barber Ln, Milpitas",4.4,541,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtVrFXCTJj4ARdNy9TwmqSuM
Happy Flower Eatery & Boba,"1274 Persian Dr, Sunnyvale",4.6,181,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ8Yg4SY23j4ARW5SpWqKNXA8
Athena Grill & Catering,"1505 Space Park Dr, Santa Clara",4.5,1918,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJH7hSMCjKj4ARGFgaleOZsZc
Sri Ananda Bhavan - Sunnyvale,"920 E Arques Ave, Sunnyvale",3.9,1909,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJaycRKRa2j4AR83NNzfgnGYw
Vitality Bowls,"115 S Frances St, Sunnyvale",3.8,196,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJKdJYbFy2j4ARsucKxcudxqM
Local Kitchens,"369 California Ave, Palo Alto",4.6,431,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJYaUeoRe7j4AR5PA4iBUMxeI
Local Kitchens,"21666 Stevens Creek Blvd, Cupertino",4.8,683,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJS61Rr3C1j4ARNNui-_ovkWs
Oren's Hummus,"261 University Ave, Palo Alto",4.4,2497,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ361H6jm7j4ARk1vmz_dEqwE
Tane Vegan Izakaya,"461 Emerson St, Palo Alto",4.7,108,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJsZYrFAC7j4ARgZiNdSEjGsQ
The Gurkha Kitchen,"1342 S Mary Ave, Sunnyvale",4.6,624,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJL4DZYUS3j4ARSr5uLUgSsg4
Nahita Bakery,"1334 S Mary Ave, Sunnyvale",4.9,251,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJG_xc8yy7j4ARGTEjK0BF3jc
Roger's Deli & Donuts,"295 E Middlefield Rd, Mountain View",4.4,1399,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJQ4F3PBa3j4ARf7_QjN1Cklo
RAJARANI Bakery and Restaurant,"952 W El Camino Real, Sunnyvale",4.7,386,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ9ajfUgC3j4AR5ZDpcq2QfS4
LeVant dessert,"842 Santa Cruz Ave, Menlo Park",4.4,156,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJB0d75rK9j4AR-sgYVBDrIgs
Yeganeh Bakery and Kafe Unik,"3275 Stevens Creek Blvd #125, San Jose",4.4,1404,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ_dwz2CS2j4ARl4Ijzil8phk
Douce France,"855 El Camino Real #104, Palo Alto",4.5,624,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHz4XFiW7j4ARn0Db50n4L2k
Palo Alto Creamery,"566 Emerson St, Palo Alto",4.4,2308,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyaiRIjq7j4ARpFp0WP-WoNA
Olympus Caffe & Bakery,"135 Castro St, Mountain View",4.3,1973,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZSOjJjS3j4AR1laX4fkSz08
GK Pastry,"809 Cuesta Dr, Mountain View",4.9,108,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBYBJet2xj4ARbIK75x-QLfk
Cocohodo,"1082 E El Camino Real, Sunnyvale",4.3,353,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJb2JRT_C1j4ARzhXZMd-sRY4
Boudin SF,"701 Sunnyvale Saratoga Rd, Sunnyvale",4.2,629,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ72SV9WO2j4ARbC-PU-J1BTs
Bay Area Hot Breads,"464 E El Camino Real, Sunnyvale",4.2,520,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJU2SsvXq2j4AR1kErJdRIfQc
Panera Bread,"1189 E Arques Ave, Sunnyvale",4.2,868,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtY387x62j4ARaM4f-9XOf5Q
Sweet Maple,"20010 Stevens Creek Blvd, Cupertino",4.5,821,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ45nohjW1j4ARlHArHtlS5I0
Son & Garden,"1195 Merrill St, Menlo Park",4.3,532,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJLylwScmlj4ARj_Cu5p52tuc
Sweet Maple,"150 University Ave, Palo Alto",4.4,765,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgSKtATq7j4AR1LVZ7VN8W3I
Crepevine Restaurants,"367 University Ave, Palo Alto",4.4,1932,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgbClrTm7j4ARJhcj3TrrG9g
Dinah's Poolside Restaurant,"4261 El Camino Real, Palo Alto",4.5,763,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxUf2lnm6j4AROxY8N4vkocM
Keke's Breakfast Cafe,"311 S Mathilda Ave, Sunnyvale",4.5,408,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBX8YG7e3j4ARVAkuScjKoMo
Papas and Eggs (Mountain View),"2070 Old Middlefield Way, Mountain View",4,243,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJz_sWKQK7j4ARgmIaJnNrUqI
Sara's Kitchen,"1595 Franklin St, Santa Clara",4.3,1138,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJT_vuSVLKj4ARZ1WlEe4QzcI
Bajis Cafe,"2423 Old Middlefield Way, Mountain View",4.4,1139,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJu_26IQm6j4AR_Pl-EyDdOwU
Bill of Fare,"1069 Saratoga Ave, San Jose",4.4,1050,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd1KveLzKj4ARW_46L1iX33s
Kenny's Cafe,"2315 De La Cruz Blvd, Santa Clara",4.7,586,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt-0RjMnLj4ARnRogoDTvB2A
The Original Pancake House,"420 S San Antonio Rd, Los Altos",4.2,691,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJy02vUuSwj4AR0evlxyNKfn0
STACKS Menlo Park,"600 Santa Cruz Ave, Menlo Park",4.3,1277,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ6ciMyq-kj4ARRLEgxqtHAjQ
A Good Morning,"4546 El Camino Real, Los Altos",4.3,852,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc5kBeZuwj4ARbr1oPiyATE0
Mikayla's Cafe,"2209 Tasman Dr, Santa Clara",4.3,1108,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0eFZWbHJj4ARUUnKg2-r9gY
Crepevine Restaurants,"300 Castro St, Mountain View",4.3,4045,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ4TTDdzS3j4AR78EQgu5EADA
Mil's Diner,"36 S Abbott Ave, Milpitas",4.5,1207,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJk-w3DyjJj4ARDVe4FWkxSBU
Joanie's Cafe,"405 California Ave, Palo Alto",4.4,1581,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJK3g59OW6j4AR5Q5CCNShy3o
Rick's Cafe,"205 State St, Los Altos",4.2,719,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq_CzN-6wj4ARTyyNEspj-Es
Mikayla's Cafe & Catering,"890 Aldo Ave, Santa Clara",4.3,497,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJkziXnYHJj4ARGT2UGIkXMa0
Hobee's,"4224 El Camino Real, Palo Alto",4.3,1091,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJzUCJ5Hu6j4ARglde9co9EK8
Metro City Restaurant & Bar,"151 S Murphy Ave, Sunnyvale",4.3,1662,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0Z430AG3j4ARXtvP14kuf0o
Village Pantry,"184 2nd St, Los Altos",4.4,262,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJlWhjzu-wj4ARDWUaBphKinA
K's Cafe,"126 E Fremont Ave, Sunnyvale",4.3,502,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJx4u-fNa1j4ARqonKI3_khNE
Tom's Depot,"991 Fremont Ave, Los Altos",4.3,306,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0x5zmEuxj4AR9l_uxDv9qUw
Denny's,"910 Saratoga Ave, San Jose",3.8,1520,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJMQWANrzKj4ARC_6lu1k8Gg8
Bobbi's Coffee Shop & Cafe,"1361 S De Anza Blvd, Cupertino",4.4,507,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJIW-l0R61j4ARrbJY-NGpY5Q
Denny's,"1745 El Camino Real, Santa Clara",4.2,1837,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJSYh6NE_Kj4ARtPe6qUMxW2I
Bazille,"2400 Forest Ave, San Jose",4.4,189,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJY1Oq--HKj4AR2c-fnpoBIpI
Das Bierhauz,"135 Castro St, Mountain View",4.3,244,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJW2ynIPu3j4ARXDXw5S94e0o
La Boheme,"415 California Ave, Palo Alto",4.4,575,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJp_VW7eW6j4ARpcOR4xWV7bo
Fibbar MaGees,"156 S Murphy Ave, Sunnyvale",4.3,1617,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTRv-U1y2j4ARVu4B_MvvRPE
Country Gourmet,"1314 S Mary Ave, Sunnyvale",4.2,725,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ161QKoO2j4ARwqDhz3XfH-Y
Ramen Wakusei,"585 E El Camino Real, Sunnyvale",4.5,176,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJK5iGzDi3j4AR-iRLeo0iDTw
Marugame Udon,"2855 Stevens Creek Blvd, Santa Clara",4.6,574,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ8ftjHxTLj4ARnUJhbL983Jc
Kumako Den,"487 Saratoga Ave, San Jose",4.7,603,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVQtbCLjLj4ARnYX8Sg-mxaQ
Marufuku Ramen Cupertino,"19772 Stevens Creek Blvd, Cupertino",4.5,354,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJw1N0TPq1j4ARiWgSpsEurvo
HiroNori | Craft Ramen,"4300 Great America Pkwy #180, Santa Clara",4.4,1738,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZw6-oKvJj4ARnE5qohg5ILw
Udon Mugizo,"1072 Saratoga Ave, San Jose",4.4,534,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJe5iRE2XLj4ARi1-93Dj5O-Q
HiroNori Craft Ramen,"10815 N Wolfe Rd, Cupertino",4.3,284,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJM668Kvm1j4ARkqu04AX6QlY
Yugen Ramen,"152 Castro St, Mountain View",4.4,2271,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJvRgkOzS3j4AR6-MWU-pSdQk
SOJO Ramen,"43779 Boscell Rd, Fremont",4.3,252,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHa993FfHj4ARqtMRszzbGdc
Ramen 101,"133 Ranch Dr, Milpitas",4.1,143,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJjzcSA_jJj4ARKrGwJn6EQm8
Ramen Nagi,"2855 Stevens Creek Blvd, Santa Clara",4.5,1785,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJdWkLR9zLj4ARUf7Gj52Rw6Y
Ramen Nagi,"541 Bryant St, Palo Alto",4.6,3079,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJR1988Qm7j4ARi_KmggVETuc
Ramen Seas,"173 S Murphy Ave, Sunnyvale",4.3,1290,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ6UdoUly2j4ARxztAOUbNoJM
Taro San Japanese Noodle Bar,"717 Stanford Shopping Center, Palo Alto",3.9,630,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJGcqedvy7j4AR3qCgK_C-3qU
Ramen Hajime,"5229 Stevens Creek Blvd, Santa Clara",4.5,521,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ01lbOX61j4AR-QbTWGOIcLI
Ramen Taka,"2219 The Alameda, Santa Clara",4.4,1109,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoVvItwnLj4ARHv0zjPdWlr4
Myzen Ramen,"520 Lawrence Expy #304, Sunnyvale",4.2,744,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJqX-rph-2j4ARf-ODWyV69a8
Kahoo Ramen,"4330 Moorpark Ave, San Jose",4.3,725,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJg4rc-JbKj4AR5XwLbHIuHcQ
Men-Bei Ramen,"1349 Coleman Ave, Santa Clara",4.4,421,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJYfOpg7DLj4AR-7Hjpe15krE
Kanji Sushi & Ramen,"4131 El Camino Way, Palo Alto",4.6,209,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0dOudwC7j4AREfbInswM9lA
Ramen Kowa,"445 California Ave, Palo Alto",4.4,268,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq6Jj6y-7j4ARmkaTCtvuosg
Tacos La Patrona,"776 El Camino Real, Sunnyvale",4.8,104,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxSBYaYW1j4ARI9vjrDQiCoY
Tacos el Noa Noa,"208 S Fair Oaks Ave, Sunnyvale",4.5,267,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAQAAAGu2j4ARVpOcQHGKIF8
Tacos Los Primos del Sur,"807 N Shoreline Blvd, Mountain View",4.8,101,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ31mZ0f23j4ARvY9XI57lHxk
Super Tacos El Conrro,"2082 W El Camino Real, Mountain View",4.4,602,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJD0Fxqb6wj4ARle_x0P0nxcM
Sancho's Taqueria,"491 Lytton Ave, Palo Alto",4.2,830,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhbe6ZDi7j4ARhSkIguAM5oU
Taqueria La Espuela,"854 W Dana St, Mountain View",4.2,1000,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJUf3BejS3j4ARpm4CLRkFHeQ
El Califas Tacos,"495 Moffett Blvd, Mountain View",4.8,128,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJzQW0Ss63j4AR9ZZ6hr6hvl8
Sancho's Taqueria,"2723 Middlefield Rd, Palo Alto",4.3,581,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc1ATKFa6j4ARZQoyTzpy0-8
Cato's Tacos Food Truck,"1255 W El Camino Real, Sunnyvale",4.7,337,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJFxOkwOi2j4ARRVbfhH67NZc
Tacos y Hamburguesas Toluco,"2150 University Ave, East Palo Alto",4.2,151,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ46I3Koq7j4AR1QI53DFguPQ
Super Tacos El Conrro,"2530 California St, Mountain View",4.1,375,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJV1bqjpiwj4ARhpkMf6HqyD8
Nuevas Generaciones Taqueria,"3677 Stevens Creek Blvd, Santa Clara",4.8,127,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJe0_Wsi_Lj4ARJMbuv4P1V-c
Tacos Al Vapor Michoacan,"131 Main St, Los Altos",4.6,156,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ3ekn4Nqxj4ARzOl_dKyqLdY
Frontera Grill Taco Truck,"1188 S De Anza Blvd, San Jose",4.4,109,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJI0TDhBu1j4ARJcsqqQllZ1Q
Freedom Burrito,"5239 Stevens Creek Blvd, Santa Clara",3.9,396,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJkzxH9X61j4ARIOXevur8KqU
The Oxford Kitchen and Gastropub,"195 S Murphy Ave, Sunnyvale",4.2,1398,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJ8bSsl22j4ARNPmH97XSyfk
Laughing Monk Brewing and Gastropub,"1235 Oakmead Pkwy, Sunnyvale",4.1,1264,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJvQFJjt_Jj4ARBdSOaKE_wGo
Floodcraft Taproom,"2732 Augustine Dr Ste 1600, Santa Clara",4.4,116,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJQfElblnJj4ARZBP6l2-olCM
The Province International Fusion & Events,"1788 N First St #10, San Jose",4,348,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTfeSpJLLj4ARiW29D_TYwHc
OFF THE RAILS BREWING CO.,"111 S Murphy Ave, Sunnyvale",4,376,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJrci684u3j4AR_CTDtm6SQdw
Craft House,"295 E Washington Ave, Sunnyvale",4.1,253,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJdT4ma122j4AR0BkaMNKAeQ4
Steins Beer Garden & Restaurant,"895 Villa St, Mountain View",4.3,4371,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJuzFtRDS3j4AR1gfuHqaeG7k
Fairchilds Public House,"409 San Antonio Rd, Mountain View",4.1,139,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJlTUD1AGxj4ARuBRu9Dj2OxE
Peggy Sue's,"691 Tasman Dr Q, Sunnyvale",3.9,184,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJW6Ai9d23j4AR3so29cnPwy4
Denny's,"814 Ahwanee Ave, Sunnyvale",4,2113,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgfcHc623j4ARuJUKgXg45hk
Denny's,"3715 El Camino Real, Santa Clara",3.7,1128,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ7fG-1fC1j4ARf2rDPUXpXxI
Local Union 271,"271 University Ave, Palo Alto",4.1,1862,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJScdLwDm7j4ARCbo6bng01sU
